...Mass Properties...
15 Num Comps
15 Total Num Meshes
35600 Total Num Tris

4.470566419281916e+02             Total Mass
1.868022255984330e+01 -6.362392677684093e-06 -1.320838099788682e-02       Center of Gravity
4.203385557795086e+03 3.564830681979574e+04 3.859012263687652e+04       Ixx, Iyy, Izz
-2.560215596683015e+00 1.316300404537315e+03 3.847398374494026e+00       Ixy, Ixz, Iyz
4.470566419281916e+02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
5.919333498485718e+00	4.244802263371484e+01	4.108593179942823e+00	-7.359132349972295e-05	-1.151061946528915e-01	6.247907127527978e+01	1.304446457754732e+02	1.246467243924530e+02	-3.360958433631318e-01	7.326962025424972e+00	4.419808321613048e-01	4.244802263371484e+01
6.708577964950480e+00	5.167237775755685e+01	4.572732513457217e+00	-6.045408206738125e-05	-9.484791896985501e-02	8.041106318477532e+01	1.922038232800437e+02	1.856624140753872e+02	-4.152814307584916e-01	9.548942836733200e+00	5.294501269783275e-01	5.167237775755685e+01
7.497822431415242e+00	6.105771333857402e+01	5.022355484636228e+00	-5.116153217617119e-05	-7.988432526644962e-02	9.892839601604635e+01	2.709251432427491e+02	2.638120823163513e+02	-4.949283361770905e-01	1.179659431901923e+01	6.191199154729933e-01	6.105771333857402e+01
8.287066897880004e+00	7.044577015171089e+01	5.457431943592139e+00	-4.434341705478743e-05	-6.889239946678635e-02	1.174382374051904e+02	3.683993825288395e+02	3.607369428908504e+02	-5.748042848638861e-01	1.397401608759599e+01	7.084390928477090e-01	7.044577015171089e+01
9.076311364344766e+00	7.983382696484776e+01	5.882993975296777e+00	-3.912885407544703e-05	-6.048566412626168e-02	1.359330484887562e+02	4.876247575006140e+02	4.794240961438798e+02	-6.547744062762868e-01	1.610393391462794e+01	7.972409815002998e-01	7.983382696484776e+01
9.865555830809528e+00	8.922188377798462e+01	6.302044945509656e+00	-3.501165894870402e-05	-5.384806670679322e-02	1.544182847274627e+02	6.315851039775544e+02	6.228543788803411e+02	-7.339854937355448e-01	1.820075776519773e+01	8.850513569244648e-01	8.922188377798462e+01
1.065480029727429e+01	9.860994059112150e+01	6.716444490738979e+00	-3.167841038004533e-05	-4.847432040219524e-02	1.728734551011822e+02	8.032376774071340e+02	7.939668646265833e+02	-8.008780453034214e-01	2.027657597328821e+01	9.727944992071877e-01	9.860994059112150e+01
1.144404476373905e+01	1.079979974042583e+02	7.127405629088531e+00	-2.892466750011567e-05	-4.403483282126803e-02	1.913195082064877e+02	1.005527810503055e+03	9.957300196091199e+02	-8.479260330364722e-01	2.233759344638164e+01	1.068909513701424e+00	1.079979974042583e+02
1.223328923020382e+01	1.173860542173952e+02	7.535753329742660e+00	-2.661139082004602e-05	-4.030544938190731e-02	2.096725667070276e+02	1.241392889514216e+03	1.231001045909303e+03	-8.879996372611607e-01	2.438678886065669e+01	1.142776380243860e+00	1.173860542173952e+02
1.302253369666858e+01	1.272253755601968e+02	7.960088451017383e+00	-2.455332634586372e-05	-4.276477013915627e-02	2.348569555795660e+02	1.526671703558432e+03	1.520064676703643e+03	-9.488384955921096e-01	2.279077259428111e+01	1.228954755034105e+00	1.272253755601968e+02
